cq,set,c0_length,length,c1_complexity,c1_concepts,c1_properties,c1_relationships,c1_filters,c1_cardinality_hint,c1_aggregation_hint,c2_complexity,c2_num_verbs,c2_num_prepositions,c2_num_conjunctions,c2_num_modifiers,c2_num_noun_phrases,c3_complexity,c3_node_count,c3_tree_depth,c3_total_relevant_deps
Are there images of the item being used or created by the artist?,1,65,65,9.0,3,1,3,1,1,0,11.1,4,2,1,0,3.0,29.1,13,8,8
When is a loaned item expected to be returned?,1,46,46,4.0,2,1,1,0,0,0,7.1,5,0,0,0,1.0,18.1,9,4,5
Is the artefact out for repair?,1,31,31,4.0,2,1,0,0,1,0,6.1,1,2,0,0,2.0,11.1,6,2,3
What type of artist is Queen?,1,29,29,4.0,2,1,1,0,0,0,6.1,1,1,0,1,2.0,13.1,6,3,4
What are the types of the artefacts that be displayed?,1,54,54,4.0,1,1,0,1,1,0,9.1,3,1,0,0,4.0,21.1,10,5,6
Is an item a physical object?,1,29,29,4.0,2,0,1,0,1,0,5.1,1,0,0,1,2.0,11.1,6,2,3
Is an item on display?,1,22,22,3.0,1,1,0,0,1,0,5.1,1,1,0,0,2.0,11.1,5,3,3
Is an item on loan or in the museum?,1,36,36,6.0,3,1,2,0,0,0,8.1,1,2,1,0,3.0,20.1,9,5,6
When was an item acquired?,1,26,26,2.0,1,1,0,0,0,0,4.1,2,0,0,0,1.0,10.1,5,2,3
Who is the original manufacturer of an item?,1,44,44,4.0,2,0,1,1,0,0,7.1,1,1,0,1,3.0,17.1,8,4,5
What is the insurance value of an item?,1,39,39,2.0,1,1,0,0,0,0,6.1,1,1,0,0,3.0,16.1,8,4,4
Does the item display any damage or defect?,1,43,43,6.0,2,2,1,0,1,0,7.1,3,0,1,0,2.0,14.1,8,2,4
Is the item related to other artefacts in the museum?,1,53,53,4.0,2,0,1,0,1,0,9.1,2,2,0,1,3.0,24.1,10,7,7
How many items related to Queen does the museum own?,1,52,52,5.0,1,0,1,1,1,1,9.1,3,1,0,1,3.0,22.1,10,5,7
How many items of type manuscript does the museum own?,1,54,54,5.0,1,1,0,1,1,1,8.1,2,1,0,1,3.0,20.1,10,4,6
What are the different types of display requirements?,1,53,53,3.0,1,1,0,0,1,0,7.1,1,1,0,1,3.0,17.1,8,4,5
Who is responsible for the acquisition of an item in the museum?,1,64,64,4.0,2,0,1,0,1,0,10.1,1,3,0,1,4.0,28.1,12,8,8
What is the type of association between an artefact and an artist?,1,66,66,4.0,2,1,1,0,0,0,10.1,1,2,1,0,5.0,25.1,12,5,8
What artist is the item associated with?,1,40,40,3.0,2,0,1,0,0,0,6.1,2,1,0,0,2.0,14.1,7,3,4
Is an item an original or a copy?,1,33,33,2.0,1,1,0,0,0,0,6.1,1,0,1,1,2.0,15.1,8,3,4
How was an item acquired?,1,25,25,4.0,2,1,1,0,0,0,4.1,2,0,0,0,1.0,9.1,5,2,2
What organisation borrowed an item?,1,35,35,4.0,2,0,1,0,1,0,4.1,1,0,0,0,2.0,9.1,5,2,2
Is an item on loan?,1,19,19,5.0,2,1,1,0,1,0,5.1,1,1,0,0,2.0,11.1,5,3,3
Is an item currently in the museum?,1,35,35,6.0,2,1,1,1,1,0,6.1,1,1,0,1,2.0,15.1,7,4,4
How should an item of type manuscript be displayed?,1,51,51,6.0,2,2,1,1,0,0,7.1,3,1,0,0,2.0,17.1,9,4,4
How should an item of type guitar be displayed?,1,47,47,7.0,2,2,1,1,1,0,7.1,3,1,0,0,2.0,17.1,9,4,4
Are there display requirements for an item?,1,43,43,5.0,2,1,1,0,1,0,5.1,1,1,0,0,2.0,14.1,7,4,3
Is an item loaned or donated?,1,29,29,5.0,3,2,0,0,0,0,6.1,3,0,1,0,1.0,13.1,6,3,4
What are the loan conditions?,1,29,29,4.0,1,2,0,0,1,0,4.1,1,0,0,0,2.0,9.1,5,2,2
What are the preservation requirements for an item?,1,51,51,5.0,2,1,1,0,1,0,6.1,1,1,0,0,3.0,16.1,8,4,4
What is the condition of an item?,1,33,33,4.0,2,1,1,0,0,0,6.1,1,1,0,0,3.0,15.1,7,4,4
Who is the insurance company insuring an item,1,45,45,3.0,2,0,1,0,0,0,6.1,2,0,0,0,3.0,16.1,8,4,4
Who loaned an item,1,18,18,4.0,2,0,1,0,1,0,4.1,1,0,0,0,2.0,8.1,4,2,2
What is the insurance status of an item?,1,40,40,2.0,1,1,0,0,0,0,6.1,1,1,0,0,3.0,16.1,8,4,4
What are the features of an item of type guitar,1,47,47,7.0,2,2,1,1,1,0,8.1,1,2,0,0,4.0,22.1,10,6,6
When was the item first purchased,1,33,33,3.0,2,1,0,0,0,0,5.1,2,0,0,1,1.0,11.1,6,2,3
Does an item have a brand associated with it,1,44,44,4.0,2,0,1,0,1,0,8.1,3,1,0,0,3.0,18.1,9,4,5
What is the type of artefact is the item “Gibson J-160E”,1,56,56,5.0,2,2,0,1,0,0,9.1,2,1,0,0,5.0,22.1,13,3,6
Where can an item be sent for repairs?,1,38,38,5.0,2,1,1,0,1,0,7.1,3,1,0,0,2.0,14.1,8,2,4
How can the item be displayed? (An original recording?),1,55,55,7.0,2,2,1,1,1,0,7.1,3,0,0,1,2.0,18.1,13,2,3
Is an item one of many items of the same types?,1,47,47,5.0,2,1,1,0,1,0,9.1,1,2,0,2,3.0,25.1,11,7,7
Are there requirements for an item to be returned?,1,50,50,5.0,2,1,1,0,1,0,7.1,3,1,0,0,2.0,18.1,9,5,4
What kind of metadata was provided for a loaned item when first acquired?,1,73,73,7.0,2,2,1,1,1,0,11.1,4,2,0,1,3.0,24.1,13,3,8
Does an item have a full history associated with it,1,51,51,5.0,2,1,1,0,1,0,9.1,3,1,0,1,3.0,20.1,10,4,6
What is the alias of a music artist?,2,36,36,4.0,1,2,0,0,1,0,6.1,1,1,0,0,3.0,16.1,8,4,4
What is the name of a music artist?,2,35,35,3.0,1,1,0,0,1,0,6.1,1,1,0,0,3.0,16.1,8,4,4
What role did a music artist play within a music ensemble?,2,58,58,6.0,3,1,1,0,1,0,7.1,2,1,0,0,3.0,18.1,11,3,4
Who are the members of a a music ensemble?,2,42,42,4.0,2,0,1,0,1,0,6.1,1,1,0,0,3.0,17.1,9,4,4
Who is the composer of a music work?,2,36,36,4.0,2,1,1,0,0,0,6.1,1,1,0,0,3.0,16.1,8,4,4
Who is the designer of a costume?,2,33,33,4.0,2,0,1,0,1,0,6.1,1,1,0,0,3.0,15.1,7,4,4
Which is the serial number of an instrument?,2,44,44,2.0,1,1,0,0,0,0,7.1,1,1,0,1,3.0,17.1,8,4,5
Which is the model of an instrument?,2,36,36,4.0,2,1,1,0,0,0,6.1,1,1,0,0,3.0,15.1,7,4,4
What is the brand of an instrument?,2,35,35,2.0,1,1,0,0,0,0,6.1,1,1,0,0,3.0,15.1,7,4,4
What is the family of an instrument?,2,36,36,3.0,2,0,1,0,0,0,6.1,1,1,0,0,3.0,15.1,7,4,4
What is the size of an item?,2,28,28,2.0,1,1,0,0,0,0,6.1,1,1,0,0,3.0,15.1,7,4,4
What is the current condition of an item?,2,41,41,5.0,2,1,1,1,0,0,7.1,1,1,0,1,3.0,17.1,8,4,5
Which materials is the item made of?,2,36,36,4.0,2,0,1,0,1,0,6.1,2,1,0,0,2.0,14.1,7,3,4
In which year was the item produced?,2,36,36,2.0,1,1,0,0,0,0,6.1,2,1,0,0,2.0,14.1,7,3,4
What are the specific light level requirements for the item?,2,60,60,5.0,2,1,1,0,1,0,8.1,1,1,0,2,3.0,20.1,10,4,6
What are the specific humidity requirements for the item?,2,57,57,5.0,2,1,1,0,1,0,7.1,1,1,0,1,3.0,18.1,9,4,5
What are the specific temperature requirements for the item?,2,60,60,6.0,2,2,1,0,1,0,7.1,1,1,0,1,3.0,18.1,9,4,5
Does the item have any display requirements?,2,44,44,5.0,2,1,1,0,1,0,5.1,2,0,0,0,2.0,11.1,7,2,2
What is the agreed-upon value of the item for insurance purposes?,2,65,65,6.0,2,2,1,1,0,0,10.1,2,3,0,0,4.0,26.1,13,6,7
What is the estimated value of the item?,2,40,40,2.0,1,1,0,0,0,0,7.1,2,1,0,0,3.0,17.1,8,4,5
When does the lend of the item end?,2,35,35,4.0,2,1,1,0,0,0,5.1,1,1,0,0,2.0,14.1,8,3,3
When does the lend of the item start?,2,37,37,4.0,2,1,1,0,0,0,5.1,1,1,0,0,2.0,16.1,8,4,4
Who is the current lender of an item?,2,37,37,4.0,2,0,1,1,0,0,7.1,1,1,0,1,3.0,17.1,8,4,5
How was the item acquired by the museum?,2,40,40,4.0,2,1,1,0,0,0,6.1,2,1,0,0,2.0,18.1,8,5,5
What is the documented history of ownership of the item?,2,56,56,5.0,2,1,1,0,1,0,9.1,2,2,0,0,4.0,23.1,10,6,7
"Was this item ever featured in a significant publication (magazine, book, newspaper)?",2,85,85,5.0,2,0,1,1,1,0,11.1,2,1,0,2,5.0,30.1,16,7,7
Was the item involved in any significant historical events besides performances?,2,80,80,7.0,2,1,1,2,1,0,9.1,2,1,0,2,3.0,25.1,11,6,8
Was an item used during a music performance?,2,44,44,5.0,2,0,1,1,1,0,6.1,2,1,0,0,2.0,17.1,8,5,4
Was an item owned by a music artist?,2,36,36,4.0,2,0,1,0,1,0,6.1,2,1,0,0,2.0,17.1,8,5,4
Was an item produced by a music artist?,2,39,39,4.0,2,0,1,0,1,0,6.1,2,1,0,0,2.0,17.1,8,5,4
Was an item used by a music artist?,2,35,35,4.0,2,0,1,0,1,0,6.1,2,1,0,0,2.0,17.1,8,5,4
Which music releases are associated to a given item?,2,52,52,4.0,2,0,1,0,1,0,7.1,3,1,0,0,2.0,16.1,9,3,4
Which events are associated to a given item?,2,44,44,4.0,2,0,1,0,1,0,7.1,3,1,0,0,2.0,15.1,8,3,4
Which music performances are associated to an item?,2,51,51,4.0,2,0,1,0,1,0,6.1,2,1,0,0,2.0,14.1,8,3,3
Which music works are associated to an item?,2,44,44,4.0,2,0,1,0,1,0,6.1,2,1,0,0,2.0,14.1,8,3,3
Which music artists are associated to an item?,2,46,46,4.0,2,0,1,0,1,0,6.1,2,1,0,0,2.0,14.1,8,3,3
Are there any copyright restrictions on the multimedia files?,2,61,61,5.0,2,1,1,0,1,0,5.1,1,1,0,0,2.0,16.1,9,4,3
What is the resolution or quality of each multimedia file?,2,58,58,4.0,1,2,0,0,1,0,8.1,1,1,1,0,4.0,20.1,10,4,6
What is the format of each multimedia file?,2,43,43,3.0,1,1,0,0,1,0,6.1,1,1,0,0,3.0,16.1,8,4,4
Give me all the videos associated to a given item,2,49,49,4.0,2,0,1,0,1,0,8.1,3,1,0,0,3.0,20.1,10,5,5
Give me all the audio recordings associated to a given item,2,59,59,6.0,2,1,1,1,1,0,9.1,3,1,0,1,3.0,22.1,11,5,6
Which is the primary image of the item if available?,2,52,52,5.0,2,1,1,1,0,0,8.1,1,1,0,2,3.0,19.1,10,4,5
Give me all the images associated to a given item,2,49,49,4.0,2,0,1,0,1,0,8.1,3,1,0,0,3.0,20.1,10,5,5
To which specific period or era does this item belong?,2,54,54,3.0,2,0,1,0,0,0,8.1,2,0,1,1,3.0,19.1,10,3,6
To which music genres can this item be associated?,2,50,50,4.0,2,0,1,0,1,0,7.1,3,0,0,0,3.0,15.1,9,2,4
Are there any items in the collection related to this item?,2,59,59,3.0,1,0,1,0,1,0,8.1,2,2,0,0,3.0,24.1,11,7,6
Is this item part of a larger set?,2,34,34,4.0,2,0,1,0,1,0,6.1,1,1,0,1,2.0,16.1,8,4,4
What is the caption of the item that is displayed at the museum?,2,64,64,5.0,1,1,2,1,0,0,11.1,3,2,0,0,5.0,28.1,13,7,8
What is the main textual description associated to an item?,2,59,59,5.0,2,1,1,1,0,0,9.1,2,1,0,2,3.0,22.1,10,5,7
What is the name or title of an item?,2,37,37,3.0,1,2,0,0,0,0,8.1,1,1,1,0,4.0,19.1,9,4,6
What is the broad category of an item?,2,38,38,5.0,2,2,1,0,0,0,7.1,1,1,0,1,3.0,17.1,8,4,5
What is the duration of each audio or video recording?,2,54,54,4.0,1,1,0,1,1,0,8.1,1,1,1,1,3.0,22.1,10,5,7
Which colours are associate to the item?,2,40,40,5.0,2,1,1,0,1,0,6.1,1,1,0,1,2.0,15.1,7,4,4
Was an item involved in the creative process of a work?,2,55,55,5.0,2,0,1,1,1,0,9.1,2,2,0,1,3.0,25.1,11,7,7
Who acquired the Gibson J-160E?,3,31,31,6.0,2,1,1,1,1,0,4.1,1,0,0,0,2.0,9.1,5,2,2
Find items with a (specific) loan start date?,3,45,45,5.0,2,1,1,0,1,0,7.1,1,1,0,1,3.0,19.1,10,4,5
What is an associated artist of an item?,3,40,40,4.0,2,0,1,0,1,0,7.1,1,1,0,1,3.0,17.1,8,4,5
What is the type of an item?,3,28,28,4.0,2,1,1,0,0,0,6.1,1,1,0,0,3.0,15.1,7,4,4
Which guitar was used by John Lennon?,3,37,37,6.0,2,1,1,1,1,0,6.1,2,1,0,0,2.0,13.1,7,3,3
What is the loan start date of an item to the British Music Experience?,3,71,71,6.0,2,1,1,1,1,0,8.1,1,2,0,0,4.0,26.1,14,6,6
Find items in good condition,3,28,28,4.0,1,1,0,1,1,0,6.1,1,1,0,1,2.0,13.1,5,4,4
Which manuscripts require no direct lighting exposure?,3,54,54,4.0,1,1,0,1,1,0,6.1,2,0,0,1,2.0,13.1,7,2,4
Which item require no direct lighting exposure?,3,47,47,4.0,1,1,0,1,1,0,5.1,1,0,0,1,2.0,12.1,7,2,3
What security measures do I need to display an item?,3,52,52,6.0,2,2,1,0,1,0,6.1,3,0,0,0,2.0,16.1,10,3,3
How many years does the loan agreement cover the Ziggy Stardust Jumpsuit?,3,73,73,6.0,2,2,1,1,0,0,6.1,2,0,0,1,2.0,20.1,12,3,5
Find stage costumes associated with David Bowie.,3,48,48,6.0,2,1,1,1,1,0,6.1,2,1,0,0,2.0,17.1,8,5,4
What an item has the serial number (Unique identifier)?,3,55,55,2.0,1,1,0,0,0,0,6.1,1,0,0,1,3.0,18.1,11,3,4
Which are the associated events of an item?,3,43,43,4.0,2,0,1,0,1,0,7.1,2,1,0,0,3.0,17.1,8,4,5
Do the display requirements have specific values of lighting?,3,61,61,6.0,2,1,1,1,1,0,8.1,2,1,0,1,3.0,17.1,9,3,5
Which are the associated works of an item?,3,42,42,4.0,2,0,1,0,1,0,7.1,2,1,0,0,3.0,17.1,8,4,5
What is the name of an experiment step?,3,39,39,2.0,1,1,0,0,0,0,6.1,1,1,0,0,3.0,16.1,8,4,4
Does the Rock & Roll Hall of Fame provide insurance for the handwritten lyrics?,3,79,79,7.0,2,1,1,2,1,0,11.1,2,2,1,1,4.0,26.1,14,3,9
Do the display requirements have specific values of humidity control?,3,69,69,4.0,1,1,0,1,1,0,8.1,2,1,0,1,3.0,19.1,10,4,5
Find an item associated with a music artist,3,43,43,4.0,2,0,1,0,1,0,6.1,2,1,0,0,2.0,17.1,8,5,4
Which are the associated events of the Ziggy Stardust Jumpsuit?,3,63,63,6.0,2,1,1,1,1,0,7.1,2,1,0,0,3.0,19.1,10,4,5
Which museum borrowed the Gibson J-160E on loan?,3,48,48,5.0,2,1,1,1,0,0,6.1,1,1,0,0,3.0,14.1,8,2,4
Does the British Music Experience provide insurance for the Gibson J-160E?,3,74,74,8.0,2,2,1,2,1,0,7.1,2,1,0,0,3.0,18.1,11,3,4
Which are the associated works of the Gibson J-160E?,3,52,52,7.0,2,2,1,1,1,0,7.1,2,1,0,0,3.0,18.1,9,4,5
Does an insurer provide insurance for an item?,3,46,46,4.0,2,0,1,0,1,0,7.1,2,1,0,0,3.0,15.1,8,3,4
Where do I display the Ziggy Stardust Jumpsuit?,3,47,47,6.0,2,1,1,1,1,0,5.1,2,0,0,0,2.0,13.1,8,2,3
Who acquired the Ziggy Stardust Jumpsuit?,3,41,41,5.0,2,1,1,1,0,0,4.1,1,0,0,0,2.0,10.1,6,2,2
Do the display requirements have stable values of temperature and humidity?,3,75,75,5.0,1,2,0,1,1,0,10.1,2,1,1,1,4.0,22.1,11,4,7
Does an insurer provide insurance for an item?,3,46,46,4.0,2,0,1,0,1,0,7.1,2,1,0,0,3.0,15.1,8,3,4
Where do I display an item?,3,27,27,5.0,2,1,1,0,1,0,5.1,2,0,0,0,2.0,11.1,6,2,3
Do the display requirements have climate-controlled values of humidity control?,3,79,79,5.0,1,2,0,1,1,0,8.1,3,1,0,0,3.0,22.1,12,4,6
Do the display requirements have climate-controlled values of lighting?,3,71,71,4.0,1,2,0,0,1,0,8.1,3,1,0,0,3.0,20.1,11,3,6
What items from Sonia’s collection are currently on loan to the British Music Experience (BME)?,4,95,95,11.0,3,2,2,3,1,0,11.1,1,3,0,1,5.0,31.1,18,5,8
"What is the complete provenance history of a given item, including previous owners, acquisition dates, and prior loans to other institutions?",4,141,141,8.0,4,1,2,0,1,0,18.1,3,2,1,4,7.0,50.1,24,10,16
"Which items in the museum’s collection are on temporary loan, and what are their respective loan start and end dates?",4,117,117,7.0,2,2,1,1,1,0,16.1,3,2,2,2,6.0,41.1,22,5,14
"What is the current status of the loan agreement for a specific item (e.g., active, expired, indefinite, donated)?",4,114,114,5.0,2,1,1,1,0,0,15.1,3,2,0,5,4.0,41.1,24,6,11
"Which institutions have previously borrowed a specific item, and during which periods?",4,86,86,7.0,3,1,1,1,1,0,10.1,2,1,1,2,3.0,24.1,13,3,8
"What cataloguing information is available for a given item (e.g., type, brand, model, serial number, associated artists, associated works)?",4,139,139,10.0,3,4,2,0,1,0,13.1,5,1,0,3,3.0,54.1,27,11,16
"What multimedia content (images, videos, audio recordings) is associated with a specific item, and how can it be accessed?",4,122,122,7.0,2,2,1,1,1,0,16.1,5,1,1,2,6.0,38.1,24,5,9
"What is the historical and cultural significance of a given item, as described by the donor or curator?",4,103,103,7.0,2,3,1,1,0,0,15.1,3,2,2,2,5.0,35.1,19,4,12
"What metadata fields are mandatory for each type of item (e.g., instrument, costume, manuscript), and which are optional or type-specific?",4,138,138,7.0,2,3,1,0,1,0,18.1,2,2,2,4,7.0,49.1,28,6,15
"What is the current condition of a specific item, including any documented damage or conservation treatments?",4,109,109,11.0,3,4,2,2,0,0,13.1,3,1,1,2,5.0,35.1,17,7,11
Are there annotated photographs or reports highlighting specific areas of concern or interest on an item?,4,105,105,8.0,2,2,1,2,1,0,16.1,3,2,2,2,6.0,35.1,16,6,13
"What is the conservation history of an item, including dates and types of treatments performed?",4,95,95,6.0,2,2,1,0,1,0,13.1,3,2,1,0,6.0,36.1,16,9,11
"What are the display requirements for a specific item (e.g., case type, lighting, environmental controls)?",4,106,106,8.0,2,3,1,1,1,0,12.1,1,1,0,3,6.0,34.1,20,6,8
What handling and security instructions are associated with an item while on display or in storage?,4,99,99,8.0,2,2,1,2,1,0,12.1,2,3,2,0,4.0,29.1,16,3,10
"Which items require special display equipment (e.g., custom mannequins, acid-free matting) or environmental conditions?",4,119,119,7.0,2,2,0,2,1,0,12.1,1,0,1,4,5.0,32.1,20,5,7
"What items loaned by Sonia are currently visible to her via the dashboard, and what information can she access or update?",4,121,121,11.0,3,3,2,2,1,0,19.1,4,3,2,2,7.0,42.1,22,4,16
What is the communication history between Sonia and the museum regarding a specific item or loan agreement?,4,107,107,12.0,5,2,2,2,1,0,12.1,2,1,2,1,5.0,36.1,17,8,11
"What changes or updates have been made to the metadata or status of a loaned item, and by whom?",4,95,95,8.0,2,4,1,0,1,0,16.1,5,3,3,0,4.0,38.1,20,5,13
"In which exhibitions or display cases has a specific item been featured, and during what time periods?",4,102,102,7.0,3,1,1,1,1,0,14.1,3,2,2,1,5.0,34.1,18,4,12
"What is the current physical location of a specific item (e.g., on display, in storage, in transit)?",4,100,100,4.0,2,1,1,0,0,0,16.1,1,4,0,4,6.0,40.1,22,4,14
"What is the audit trail of an item’s movement between museums, exhibitions, and storage locations?",4,98,98,9.0,4,2,2,0,1,0,11.1,1,2,1,0,6.0,35.1,18,8,9
"What are the terms of the loan agreement for a specific item (e.g., compensation, insurance, transport arrangements)?",4,117,117,5.0,2,1,1,1,0,0,13.1,1,2,0,2,7.0,39.1,22,8,9
"Who is responsible for insurance and transport of a loaned item, and what are the coverage details?",4,99,99,12.0,3,3,5,0,1,0,15.1,3,2,2,1,6.0,37.1,18,6,13
"What compensation or benefits (e.g., tax deduction, annual fee) are associated with a specific loan or donation?",4,112,112,9.0,2,3,1,2,1,0,15.1,2,1,2,3,6.0,35.1,21,4,10
"How does the addition of a new item from Sonia’s collection enrich the museum’s knowledge base (e.g., new artists, works, or historical periods represented)?",4,157,157,10.0,6,0,2,1,1,0,17.1,3,2,1,4,6.0,53.1,31,9,13
What gaps or overlaps exist in the museum’s collection after integrating Sonia’s loaned items?,4,94,94,7.0,2,1,1,2,1,0,10.1,3,2,1,0,3.0,30.1,16,4,10
"What are the different types of artifacts in the collection (e.g., Instrument, Stage Costume, Manuscript)?",5,106,106,3.0,1,1,0,0,1,0,13.1,1,2,0,2,7.0,35.1,20,6,9
"What specific attributes are relevant for an Instrument (e.g., Brand, Model, Serial Number, Type: Acoustic-electric)?",5,117,117,6.0,1,4,0,0,1,0,10.1,1,1,0,3,4.0,42.1,24,10,8
"What specific attributes are relevant for a Stage Costume (e.g., Designer, Description)?",5,88,88,4.0,1,2,0,0,1,0,10.1,1,1,0,3,4.0,27.1,16,5,6
"What specific attributes are relevant for a Manuscript (e.g., Description, Medium: Handwritten)?",5,96,96,3.0,1,1,0,0,1,0,11.1,1,1,0,3,5.0,29.1,17,6,6
"Which Artist(s) are associated with a specific artifact (e.g., Gibson J-160E -> John Lennon, George Harrison)?",5,110,110,5.0,2,1,1,0,1,0,11.1,2,1,0,2,5.0,33.1,22,5,6
"Which Work(s) (e.g., album, song) are associated with a specific artifact (e.g., Gibson J-160E -> ""Please Please Me"" album; Handwritten Lyrics -> ""Bohemian Rhapsody"")?",5,167,167,5.0,2,1,1,0,1,0,11.1,2,1,0,3,4.0,54.1,39,5,10
"Which Event(s) (e.g., tour, recording session) are associated with a specific artifact (e.g., Ziggy Stardust Jumpsuit -> Ziggy Stardust tour)?",5,142,142,6.0,2,1,1,1,1,0,9.1,2,1,0,3,2.0,42.1,29,6,7
"What is the unique identifier (e.g., catalog number, serial number if applicable) for a given artifact?",5,103,103,2.0,1,1,0,0,0,0,13.1,2,1,0,4,5.0,34.1,20,5,9
"How can we retrieve all artifacts associated with a specific Artist (e.g., David Bowie)?",5,88,88,6.0,2,1,1,1,1,0,10.1,3,1,0,2,3.0,31.1,17,5,9
"How can we retrieve all artifacts classified as a specific Type (e.g., Stage Costume)?",5,86,86,4.0,1,1,0,1,1,0,11.1,3,1,0,2,4.0,31.1,17,6,8
Who was the original owner of a specific artifact (if known)?,5,61,61,4.0,2,0,1,1,0,0,9.1,2,1,0,2,3.0,23.1,13,4,6
"Who is the current owner of a specific artifact (e.g., Sonia)?",5,62,62,5.0,2,1,1,1,0,0,9.1,1,1,0,3,3.0,26.1,14,4,8
"How and when did the current owner (e.g., Sonia) acquire a specific artifact?",5,77,77,8.0,3,1,2,2,0,0,10.1,2,0,1,3,3.0,28.1,16,4,8
Has a specific artifact been loaned out previously? To which institutions and during which dates?,5,97,97,9.0,3,2,2,1,1,0,14.1,4,2,1,2,4.0,27.1,16,2,9
What is the complete ownership history (provenance trail) for a given artifact?,5,79,79,5.0,2,1,1,0,1,0,9.1,2,1,0,1,4.0,24.1,14,4,6
"What is the recorded general condition (e.g., Excellent, Fair, Good, Fragile, Delicate) of a specific artifact?",5,111,111,2.0,1,1,0,0,0,0,14.1,2,1,0,4,6.0,39.1,23,6,10
"What specific damage (e.g., scratches, fraying, fading, creasing, foxing) is noted for a particular artifact?",5,109,109,5.0,2,1,1,0,1,0,14.1,3,1,0,3,6.0,38.1,22,6,10
"What conservation treatments has a specific artifact undergone, and when?",5,73,73,7.0,2,2,1,1,1,0,6.1,1,0,1,1,2.0,18.1,11,2,5
How can we find all artifacts currently assessed as being in 'Fragile' or 'Delicate' condition?,5,95,95,5.0,1,1,0,2,1,0,14.1,4,2,1,3,3.0,38.1,19,7,12
"What are the specific display case requirements for an artifact (e.g., Secure, Climate-controlled)?",5,99,99,5.0,2,1,1,0,1,0,10.1,2,1,0,2,4.0,32.1,19,5,8
"What are the lighting requirements for displaying an artifact (e.g., Low-level, UV-filtered, Indirect)?",5,103,103,5.0,2,1,1,0,1,0,11.1,3,1,0,2,4.0,40.1,22,8,10
"Are there specific handling instructions (e.g., White gloves required)?",5,71,71,3.0,1,1,0,0,1,0,7.1,2,0,0,2,2.0,22.1,12,4,6
"What level of security is required for a specific artifact (e.g., 24/7 monitoring, High-level, Alarms, CCTV)?",5,109,109,6.0,2,2,1,1,0,0,14.1,2,2,0,3,6.0,40.1,24,6,10
"Does an artifact require specific environmental controls (e.g., humidity control)?",5,82,82,6.0,2,1,1,1,1,0,9.1,2,0,0,3,3.0,20.1,13,3,4
Does a costume require a custom-fit mannequin?,5,46,46,6.0,2,1,1,1,1,0,6.1,2,0,0,1,2.0,16.1,9,3,4
"Does a manuscript require specific framing (e.g., Acid-free matting, UV-filtering glass)?",5,89,89,7.0,2,1,1,2,1,0,10.1,3,0,0,3,3.0,31.1,19,5,7
"Who is the donor/lender (e.g., Sonia) for a specific loaned artifact?",5,69,69,5.0,3,0,2,0,0,0,10.1,2,1,0,2,4.0,26.1,16,3,7
"Who is the borrower (e.g., BME, V&A, Rock & Roll Hall of Fame) for a specific loan agreement?",5,93,93,4.0,2,0,1,1,0,0,16.1,1,2,1,2,9.0,40.1,23,5,12
"What is the start date and end date (or status like 'Indefinite', 'Full Donation') of a specific loan agreement?",5,112,112,5.0,1,3,0,1,0,0,15.1,1,2,2,2,7.0,43.1,26,4,13
What is the agreed compensation (if any) for a specific loan?,5,61,61,6.0,2,1,1,2,0,0,9.1,2,1,0,1,4.0,23.1,13,4,6
Who is responsible for insurance under a specific loan agreement?,5,65,65,7.0,3,1,2,1,0,0,9.1,1,2,0,2,3.0,21.1,10,4,7
Who is responsible for arranging and covering the cost of transport for a specific loan?,5,88,88,5.0,2,1,1,1,0,0,14.1,3,3,1,2,4.0,35.1,15,8,12
Is a specific artifact currently on loan? To whom?,5,50,50,7.0,2,2,1,2,0,0,9.1,1,2,0,2,3.0,18.1,10,2,6
Which artifacts loaned by Sonia are currently held by the BME?,5,62,62,10.0,3,2,2,2,1,0,10.1,3,2,0,1,3.0,22.1,11,4,7
"Which loan agreements are set to expire within the next [time period, e.g., 6 months]?",5,86,86,4.0,1,1,0,1,1,0,10.1,3,1,0,2,3.0,30.1,19,5,6
Has an artifact been designated as a 'Full Donation' rather than a loan?,5,72,72,4.0,1,1,0,1,1,0,11.1,3,2,0,2,3.0,25.1,15,4,6
What are all the artifacts currently under loan agreements with the BME as the borrower?,5,88,88,9.0,3,2,1,2,1,0,11.1,1,3,0,1,5.0,30.1,15,6,9
How can the system represent the relationship between a donor (Sonia) and the artifacts they have loaned?,5,105,105,6.0,2,1,1,1,1,0,13.1,4,1,1,0,6.0,34.1,19,6,9
"How can the system represent the status of a loan (e.g., Proposed, Active, Expired, Donated)?a",5,94,94,2.0,1,1,0,0,0,0,10.1,3,1,0,1,4.0,37.1,20,7,10
"What information about loaned artifacts should be visible to the donor (Sonia) via the dashboard? (e.g., Loan status, Location within museum, Current condition summary?)",5,169,169,15.0,5,4,3,2,1,0,20.1,3,4,0,3,9.0,51.1,33,4,14
How does the system distinguish between artifacts owned outright by the museum and those on loan?,5,97,97,5.0,1,1,0,2,1,0,14.1,3,3,1,1,5.0,34.1,16,6,12
"How can Liz retrieve all information (cataloguing, provenance, condition, display, loan) associated with a single artifact added via the loan process?",5,150,150,9.0,2,5,1,1,0,0,17.1,4,2,0,1,9.0,49.1,27,8,14
