cq,set,score,read_Flesch_kincaid_grade,read_Coleman_liau,read_Automated_readability,read_Gunning_fog,read_Dale_chall_readability,read_Linsear_write,read_Clauses,relevance_binary,relevance_likert,length,c1_complexity,c1_concepts,c1_properties,c1_relationships,c1_filters,c1_cardinality_hint,c1_aggregation_hint
Are there images of the item being used or created by the artist?,1,2,7.2,5.03,4.3,11.35,7.93,7.5,3,Y,4,65,9.0,3,1,3,1,1,0
When is a loaned item expected to be returned?,1,2,4.4,4.78,2.9,8.04,11.1,4.5,0,Y,4,46,4.0,2,1,1,0,0,0
Is the artefact out for repair?,1,2,2.1,3.35,2.0,2.4,6.57,2.0,2,N,1,31,4.0,2,1,0,0,1,0
What type of artist is Queen?,1,2,0.9,1.38,0.4,2.4,6.57,2.0,1,Y,4,29,4.0,2,1,1,0,0,0
What are the types of the artefacts that be displayed?,1,2,2.5,6.76,4.8,4.0,8.87,4.0,1,Y,4,54,4.0,1,1,0,1,1,0
Is an item a physical object?,1,2,6.8,1.38,0.4,9.07,11.83,3.0,0,Y,4,29,4.0,2,0,1,0,1,0
Is an item on display?,1,2,2.9,-2.01,-2.1,2.0,10.2,1.5,1,Y,4,22,3.0,1,1,0,0,1,0
Is an item on loan or in the museum?,1,2,3.3,-1.67,-2.4,8.04,7.59,4.5,3,Y,4,36,6.0,3,1,2,0,0,0
When was an item acquired?,1,2,5.2,2.64,1.8,10.0,10.2,2.5,0,Y,4,26,2.0,1,1,0,0,0,0
Who is the original manufacturer of an item?,1,2,11.1,6.45,4.4,13.2,9.95,5.0,1,Y,4,44,4.0,2,0,1,1,0,0
What is the insurance value of an item?,1,2,5.2,2.86,1.4,8.2,7.98,4.0,1,Y,4,39,2.0,1,1,0,0,0,0
Does the item display any damage or defect?,1,2,6.4,5.76,3.8,3.2,9.95,3.0,1,Y,4,43,6.0,2,2,1,0,1,0
Is the item related to other artefacts in the museum?,1,2,8.4,6.18,4.3,12.0,10.45,6.0,1,Y,4,53,4.0,2,0,1,0,1,0
How many items related to Queen does the museum own?,1,2,7.2,5.6,3.8,12.0,8.87,6.0,1,Y,4,52,5.0,1,0,1,1,1,1
How many items of type manuscript does the museum own?,1,2,7.2,6.76,4.8,12.0,10.45,6.0,2,Y,4,54,5.0,1,1,0,1,1,1
What are the different types of display requirements?,1,2,6.4,13.01,9.7,8.2,9.95,5.0,1,Y,4,53,3.0,1,1,0,0,1,0
Who is responsible for the acquisition of an item in the museum?,1,2,10.3,6.95,5.4,14.8,9.5,8.0,3,N,1,64,4.0,2,0,1,0,1,0
What is the type of association between an artefact and an artist?,1,2,8.0,7.93,6.1,8.13,8.18,6.0,3,Y,4,66,4.0,2,1,1,0,0,0
What artist is the item associated with?,1,2,9.6,7.37,5.0,8.51,8.5,3.5,1,Y,4,40,3.0,2,0,1,0,0,0
Is an item an original or a copy?,1,2,6.4,-1.5,-2.2,8.2,7.98,4.0,1,N,1,33,2.0,1,1,0,0,0,0
How was an item acquired?,1,2,5.2,1.48,0.9,10.0,10.2,2.5,0,Y,4,25,4.0,2,1,1,0,0,0
What organisation borrowed an item?,1,2,12.3,13.08,10.3,10.0,13.36,2.5,0,Y,4,35,4.0,2,0,1,0,1,0
Is an item on loan?,1,2,0.5,-5.49,-4.9,2.0,7.04,1.5,1,Y,4,19,5.0,2,1,1,0,1,0
Is an item currently in the museum?,1,2,7.2,3.26,1.6,14.23,10.75,4.5,1,N,1,35,6.0,2,1,1,1,1,0
How should an item of type manuscript be displayed?,1,2,4.4,8.03,5.6,8.04,11.1,4.5,1,Y,4,51,6.0,2,2,1,1,0,0
How should an item of type guitar be displayed?,1,2,3.3,5.42,3.5,3.6,11.1,3.5,1,Y,4,47,7.0,2,2,1,1,1,0
Are there display requirements for an item?,1,2,6.0,9.87,7.0,8.51,10.75,3.5,1,Y,4,43,5.0,2,1,1,0,1,0
Is an item loaned or donated?,1,2,4.5,1.38,0.4,9.07,11.83,3.0,1,Y,4,29,5.0,3,2,0,0,0,0
What are the loan conditions?,1,2,2.9,6.12,4.6,10.0,7.04,2.5,0,Y,4,29,4.0,1,2,0,0,1,0
What are the preservation requirements for an item?,1,2,8.8,11.56,8.5,13.2,9.95,5.0,1,Y,4,51,5.0,2,1,1,0,1,0
What is the condition of an item?,1,2,3.7,1.57,0.3,8.51,8.5,3.5,1,Y,4,33,4.0,2,1,1,0,0,0
Who is the insurance company insuring an item,1,2,10.0,7.9,4.9,13.2,9.95,6.0,0,Y,4,45,3.0,2,0,1,0,0,0
Who loaned an item,1,2,1.3,-1.46,-1.9,1.6,11.73,1.0,0,Y,4,18,4.0,2,0,1,0,1,0
What is the insurance status of an item?,1,2,5.2,3.55,2.0,8.2,9.95,4.0,1,Y,4,40,2.0,1,1,0,0,0,0
What are the features of an item of type guitar,1,2,3.7,3.28,1.5,4.0,10.45,4.0,2,Y,4,47,7.0,2,2,1,1,1,0
When was the item first purchased,1,2,2.1,6.25,3.6,2.4,9.2,2.0,0,Y,4,33,3.0,2,1,0,0,0,0
Does an item have a brand associated with it,1,2,6.8,4.14,1.9,8.04,9.35,4.5,1,Y,4,44,4.0,2,0,1,0,1,0
What is the type of artefact is the item “Gibson J-160E”,1,2,4.0,4.21,3.8,4.4,12.79,4.5,1,Y,4,56,5.0,2,2,0,1,0,0
Where can an item be sent for repairs?,1,0,2.9,2.1,0.8,3.2,7.98,3.0,1,Y,4,38,5.0,2,1,1,0,1,0
How can the item be displayed? (An original recording?),1,0,7.4,5.41,5.4,10.69,10.88,2.25,0,Y,4,55,7.0,2,2,1,1,1,0
Is an item one of many items of the same types?,1,0,4.0,0.5,-0.2,4.4,8.49,4.5,2,N,1,47,5.0,2,1,1,0,1,0
Are there requirements for an item to be returned?,1,0,4.4,7.39,5.1,8.04,9.35,4.5,1,Y,4,50,5.0,2,1,1,0,1,0
What kind of metadata was provided for a loaned item when first acquired?,1,0,7.2,8.63,7.2,14.43,10.35,8.5,2,Y,4,73,7.0,2,2,1,1,1,0
Does an item have a full history associated with it,1,0,8.4,5.6,3.4,8.0,7.29,6.0,1,Y,4,51,5.0,2,1,1,0,1,0
What is the alias of a music artist?,2,2,5.2,0.65,-0.4,8.2,6.01,4.0,1,N,1,36,4.0,1,2,0,0,1,0
What is the name of a music artist?,2,2,2.9,-0.05,-1.0,3.2,0.4,3.0,1,Y,4,35,3.0,1,1,0,0,1,0
What role did a music artist play within a music ensemble?,2,2,6.4,6.3,4.6,8.04,8.49,5.5,1,N,1,58,6.0,3,1,1,0,1,0
Who are the members of a a music ensemble?,2,2,4.4,2.23,0.9,8.04,7.59,4.5,1,N,1,42,4.0,2,0,1,0,1,0
Who is the composer of a music work?,2,2,4.1,0.65,-0.4,8.2,6.01,4.0,1,N,1,36,4.0,2,1,1,0,0,0
Who is the designer of a costume?,2,2,3.7,1.57,0.3,8.51,8.5,3.5,1,Y,4,33,4.0,2,0,1,0,1,0
Which is the serial number of an instrument?,2,2,6.4,6.45,4.4,13.2,7.98,5.0,1,Y,4,44,2.0,1,1,0,0,0,0
Which is the model of an instrument?,2,2,3.7,4.07,2.3,8.51,8.5,3.5,1,Y,4,36,4.0,2,1,1,0,0,0
What is the brand of an instrument?,2,2,2.5,3.26,1.6,8.51,8.5,3.5,1,Y,4,35,2.0,1,1,0,0,0,0
What is the family of an instrument?,2,2,6.0,4.07,2.3,8.51,6.24,4.5,1,N,1,36,3.0,2,0,1,0,0,0
What is the size of an item?,2,2,0.1,-2.55,-3.2,2.8,6.24,2.5,1,N,1,28,2.0,1,1,0,0,0,0
What is the current condition of an item?,2,2,5.2,4.31,2.6,8.2,9.95,4.0,1,Y,4,41,5.0,2,1,1,1,0,0
Which materials is the item made of?,2,2,6.0,4.07,2.3,8.51,8.5,3.5,1,N,1,36,4.0,2,0,1,0,1,0
In which year was the item produced?,2,2,2.5,4.07,2.3,2.8,8.5,2.5,1,N,1,36,2.0,1,1,0,0,0,0
What are the specific light level requirements for the item?,2,2,7.2,10.24,7.6,12.0,8.87,6.0,1,Y,4,60,5.0,2,1,1,0,1,0
What are the specific humidity requirements for the item?,2,2,10.3,11.86,8.7,16.93,11.1,6.5,1,Y,4,57,5.0,2,1,1,0,1,0
What are the specific temperature requirements for the item?,2,2,9.2,13.83,10.3,16.93,11.1,6.5,1,Y,4,60,6.0,2,2,1,0,1,0
Does the item have any display requirements?,2,2,7.2,10.74,7.6,8.51,10.75,3.5,0,Y,4,44,5.0,2,1,1,0,1,0
What is the agreed-upon value of the item for insurance purposes?,2,2,6.4,9.49,7.6,11.67,9.92,6.5,2,Y,4,65,6.0,2,2,1,1,0,0
What is the estimated value of the item?,2,2,6.4,3.55,2.0,8.2,7.98,4.0,1,Y,4,40,2.0,1,1,0,0,0,0
When does the lend of the item end?,2,2,0.5,-0.05,-1.0,3.2,6.01,3.0,1,Y,4,35,4.0,2,1,1,0,0,0
When does the lend of the item start?,2,2,0.5,1.41,0.2,3.2,6.01,3.0,1,Y,4,37,4.0,2,1,1,0,0,0
Who is the current lender of an item?,2,2,4.1,1.41,0.2,3.2,9.95,3.0,1,Y,4,37,4.0,2,0,1,1,0,0
How was the item acquired by the museum?,2,2,6.4,3.55,2.0,13.2,9.95,5.0,1,Y,4,40,4.0,2,1,1,0,0,0
What is the documented history of ownership of the item?,2,2,9.6,7.92,5.7,12.0,8.87,7.0,2,Y,4,56,5.0,2,1,1,0,1,0
"Was this item ever featured in a significant publication (magazine, book, newspaper)?",2,2,13.9,15.18,13.6,11.47,9.5,9.0,1,N,1,85,5.0,2,0,1,1,1,0
Was the item involved in any significant historical events besides performances?,2,2,15.8,17.9,14.0,15.31,12.79,7.5,2,Y,4,80,7.0,2,1,1,2,1,0
Was an item used during a music performance?,2,2,6.4,6.45,4.4,8.2,7.98,4.0,1,Y,4,44,5.0,2,0,1,1,1,0
Was an item owned by a music artist?,2,2,4.1,0.65,-0.4,3.2,7.98,3.0,1,Y,4,36,4.0,2,0,1,0,1,0
Was an item produced by a music artist?,2,2,5.2,2.86,1.4,3.2,7.98,3.0,1,Y,4,39,4.0,2,0,1,0,1,0
Was an item used by a music artist?,2,2,4.1,-0.05,-1.0,3.2,6.01,3.0,1,Y,4,35,4.0,2,0,1,0,1,0
Which music releases are associated to a given item?,2,2,11.5,8.67,6.1,12.49,9.35,5.5,0,Y,4,52,4.0,2,0,1,0,1,0
Which events are associated to a given item?,2,2,10.0,6.45,4.4,8.2,9.95,4.0,0,Y,4,44,4.0,2,0,1,0,1,0
Which music performances are associated to an item?,2,2,12.3,11.56,8.5,13.2,9.95,5.0,0,Y,4,51,4.0,2,0,1,0,1,0
Which music works are associated to an item?,2,2,8.8,6.45,4.4,8.2,9.95,4.0,0,Y,4,44,4.0,2,0,1,0,1,0
Which music artists are associated to an item?,2,2,10.0,7.9,5.6,8.2,9.95,4.0,0,Y,4,46,4.0,2,0,1,0,1,0
Are there any copyright restrictions on the multimedia files?,2,2,11.5,14.47,10.8,16.93,11.1,6.5,1,Y,4,61,5.0,2,1,1,0,1,0
What is the resolution or quality of each multimedia file?,2,2,10.7,9.08,6.6,16.0,8.87,7.0,2,Y,4,58,4.0,1,2,0,0,1,0
What is the format of each multimedia file?,2,2,6.4,5.76,3.8,8.2,7.98,4.0,1,N,1,43,3.0,1,1,0,0,1,0
Give me all the videos associated to a given item,2,2,9.6,4.44,2.4,12.0,8.87,6.0,0,Y,4,49,4.0,2,0,1,0,1,0
Give me all the audio recordings associated to a given item,2,2,11.1,7.35,5.0,15.31,9.92,7.5,0,Y,4,59,6.0,2,1,1,1,1,0
Which is the primary image of the item if available?,2,2,8.4,5.6,3.8,12.0,10.45,6.0,2,Y,4,52,5.0,2,1,1,1,0,0
Give me all the images associated to a given item,2,2,9.6,4.44,2.4,12.0,8.87,6.0,0,Y,4,49,4.0,2,0,1,0,1,0
To which specific period or era does this item belong?,2,2,8.4,6.76,4.8,12.0,10.45,6.0,1,Y,4,54,3.0,2,0,1,0,0,0
To which music genres can this item be associated?,2,2,9.2,7.39,5.1,8.04,9.35,4.5,0,Y,4,50,4.0,2,0,1,0,1,0
Are there any items in the collection related to this item?,2,2,7.6,6.82,5.0,11.67,9.92,6.5,1,Y,4,59,3.0,1,0,1,0,1,0
Is this item part of a larger set?,2,2,2.9,-0.81,-1.6,3.2,7.98,3.0,1,N,1,34,4.0,2,0,1,0,1,0
What is the caption of the item that is displayed at the museum?,2,2,6.0,4.57,3.9,8.28,9.14,6.5,2,N,1,64,5.0,1,1,2,1,0,0
What is the main textual description associated to an item?,2,2,10.7,9.66,7.1,16.0,12.03,7.0,0,Y,4,59,5.0,2,1,1,1,0,0
What is the name or title of an item?,2,2,2.1,-1.03,-1.9,3.6,5.84,3.5,2,Y,4,37,3.0,1,2,0,0,0,0
What is the broad category of an item?,2,2,5.2,2.1,0.8,8.2,7.98,4.0,1,Y,4,38,5.0,2,2,1,0,0,0
What is the duration of each audio or video recording?,2,2,9.6,6.76,4.8,20.0,10.45,8.0,2,N,1,54,4.0,1,1,0,1,1,0
Which colours are associate to the item?,2,0,7.2,7.37,5.0,8.51,10.75,3.5,0,N,1,40,5.0,2,1,1,0,1,0
Was an item involved in the creative process of a work?,2,0,6.4,4.74,3.3,8.04,9.92,5.5,2,Y,4,55,5.0,2,0,1,1,1,0
Who acquired the Gibson J-160E?,3,0,5.2,7.28,6.5,10.0,16.52,2.5,0,Y,4,31,6.0,2,1,1,1,1,0
Find items with a (specific) loan start date?,3,0,4.1,5.76,4.9,8.2,7.98,4.0,1,Y,4,45,5.0,2,1,1,0,1,0
What is an associated artist of an item?,3,0,8.8,3.55,2.0,8.2,7.98,4.0,1,Y,4,40,4.0,2,0,1,0,1,0
What is the type of an item?,3,0,0.1,-2.55,-3.2,2.8,8.5,2.5,1,Y,4,28,4.0,2,1,1,0,0,0
Which guitar was used by John Lennon?,3,0,2.5,4.94,2.9,2.8,10.75,2.5,1,Y,4,37,6.0,2,1,1,1,1,0
What is the loan start date of an item to the British Music Experience?,3,0,6.4,5.73,5.1,8.46,7.71,7.0,1,Y,4,71,6.0,2,1,1,1,1,0
Find items in good condition,3,0,5.2,6.12,3.7,10.0,10.2,2.5,1,Y,4,28,4.0,1,1,0,1,1,0
Which manuscripts require no direct lighting exposure?,3,0,11.9,18.97,14.4,19.94,13.01,5.5,0,Y,4,54,4.0,1,1,0,1,1,0
Which item require no direct lighting exposure?,3,0,10.7,13.17,9.7,14.23,13.01,4.5,0,Y,4,47,4.0,1,1,0,1,1,0
What security measures do I need to display an item?,3,0,7.2,5.6,3.8,8.0,10.45,5.0,0,Y,4,52,6.0,2,2,1,0,1,0
How many years does the loan agreement cover the Ziggy Stardust Jumpsuit?,3,0,8.0,11.3,8.9,8.13,10.81,6.0,0,Y,4,73,6.0,2,2,1,1,0,0
Find stage costumes associated with David Bowie.,3,0,10.7,14.04,10.3,8.51,13.01,3.5,1,Y,4,48,6.0,2,1,1,1,1,0
What an item has the serial number (Unique identifier)?,3,0,11.5,9.31,7.7,12.49,11.1,5.5,0,Y,4,55,2.0,1,1,0,0,0,0
Which are the associated events of an item?,3,0,8.8,5.76,3.8,8.2,9.95,4.0,1,Y,4,43,4.0,2,0,1,0,1,0
Do the display requirements have specific values of lighting?,3,0,9.2,14.47,10.8,12.49,12.86,5.5,1,Y,4,61,6.0,2,1,1,1,1,0
Which are the associated works of an item?,3,0,6.4,5.0,3.2,8.2,9.95,4.0,1,Y,4,42,4.0,2,0,1,0,1,0
What is the name of an experiment step?,3,0,4.1,2.86,1.4,8.2,6.01,4.0,1,N,1,39,2.0,1,1,0,0,0,0
Does the Rock & Roll Hall of Fame provide insurance for the handwritten lyrics?,3,0,7.2,10.37,9.0,11.35,10.35,8.0,3,Y,4,79,7.0,2,1,1,2,1,0
Do the display requirements have specific values of humidity control?,3,0,11.9,15.46,11.8,16.0,13.61,7.0,1,Y,4,69,4.0,1,1,0,1,1,0
Find an item associated with a music artist,3,0,10.0,6.45,3.8,8.2,7.98,4.0,2,Y,4,43,4.0,2,0,1,0,1,0
